ingredient_name,name_fr,category,country_code,fr_reference_price_eur_per_100g,price_per_100g,currency,package_size,package_unit,notes
Ras el hanout,Ras el hanout,spice,GB,1.290,,GBP,,,
Ras el hanout,Ras el hanout,spice,US,1.290,,USD,,,
Red bell pepper,Poivron rouge,vegetable,CA,0.439,,CAD,,,
Red bell pepper,Poivron rouge,vegetable,GB,0.439,,GBP,,,
Red bell pepper,Poivron rouge,vegetable,US,0.439,,USD,,,
Red lentils,Lentilles rouges,legume,CA,0.355,,CAD,,,
Red lentils,Lentilles rouges,legume,GB,0.355,,GBP,,,
Red lentils,Lentilles rouges,legume,US,0.355,,USD,,,
Red onion,Oignon rouge,vegetable,CA,0.198,,CAD,,,
Red onion,Oignon rouge,vegetable,GB,0.198,,GBP,,,
Red onion,Oignon rouge,vegetable,US,0.198,,USD,,,
Rice,Riz,starch,CA,0.255,,CAD,,,
Rice,Riz,starch,GB,0.255,,GBP,,,
Rice,Riz,starch,US,0.255,,USD,,,
Ripe plantain,Banane plantain mûre,starch,CA,0.349,,CAD,,,
Ripe plantain,Banane plantain mûre,starch,GB,0.349,,GBP,,,
Ripe plantain,Banane plantain mûre,starch,US,0.349,,USD,,,
Roasted peanuts,Arachides grillées,nut,CA,,,CAD,,,
Roasted peanuts,Arachides grillées,nut,GB,,,GBP,,,
Roasted peanuts,Arachides grillées,nut,US,,,USD,,,
Salt,Sel,spice,CA,0.118,,CAD,,,
Salt,Sel,spice,GB,0.118,,GBP,,,
Salt,Sel,spice,US,0.118,,USD,,,
Seasoning cube,Cube d'assaisonnement,condiment,CA,,,CAD,,,
Seasoning cube,Cube d'assaisonnement,condiment,GB,,,GBP,,,
Seasoning cube,Cube d'assaisonnement,condiment,US,,,USD,,,
Sesame oil,Huile de sésame,fat,CA,1.220,,CAD,,,
Sesame oil,Huile de sésame,fat,GB,1.220,,GBP,,,
Sesame oil,Huile de sésame,fat,US,1.220,,USD,,,
Shrimp,Crevettes,fish,CA,3.333,,CAD,,,
Shrimp,Crevettes,fish,GB,3.333,,GBP,,,
Shrimp,Crevettes,fish,US,3.333,,USD,,,
Slivered almonds,Amandes effilées,nut,CA,,,CAD,,,
Slivered almonds,Amandes effilées,nut,GB,,,GBP,,,
Slivered almonds,Amandes effilées,nut,US,,,USD,,,
Smoked chicken,Poulet fumé,protein,CA,0.629,,CAD,,,
Smoked chicken,Poulet fumé,protein,GB,0.629,,GBP,,,
Smoked chicken,Poulet fumé,protein,US,0.629,,USD,,,
Smoked fish,Poisson fumé,dried_fish,CA,2.406,,CAD,,,
Smoked fish,Poisson fumé,dried_fish,GB,2.406,,GBP,,,
Smoked fish,Poisson fumé,dried_fish,US,2.406,,USD,,,
Smoked mackerel,Maquereau fumé,,CA,,,CAD,,,
Smoked mackerel,Maquereau fumé,,GB,,,GBP,,,
Smoked mackerel,Maquereau fumé,,US,,,USD,,,
Smoked pork,Porc fumé,protein,CA,1.490,,CAD,,,
Smoked pork,Porc fumé,protein,GB,1.490,,GBP,,,
Smoked pork,Porc fumé,protein,US,1.490,,USD,,,
Smoked sausage,Saucisse fumée,protein,CA,,,CAD,,,
Smoked sausage,Saucisse fumée,protein,GB,,,GBP,,,
Smoked sausage,Saucisse fumée,protein,US,,,USD,,,
Sorghum leaves,Feuilles de sorgho,vegetable,CA,,,CAD,,,
Sorghum leaves,Feuilles de sorgho,vegetable,GB,,,GBP,,,
Sorghum leaves,Feuilles de sorgho,vegetable,US,,,USD,,,
Soy sauce,Sauce soja,condiment,CA,1.000,,CAD,,,
Soy sauce,Sauce soja,condiment,GB,1.000,,GBP,,,
Soy sauce,Sauce soja,condiment,US,1.000,,USD,,,
Spinach,Épinards,vegetable,CA,1.032,,CAD,,,
Spinach,Épinards,vegetable,GB,1.032,,GBP,,,
Spinach,Épinards,vegetable,US,1.032,,USD,,,
Stale bread,Pain rassis,starch,CA,1.039,,CAD,,,
Stale bread,Pain rassis,starch,GB,1.039,,GBP,,,
