ingredient_name,name_fr,category,price_fr_eur_per_100g,source_fr,verdict_fr,package_size_fr,package_unit_fr,price_gb_gbp_per_100g,source_gb,package_size_gb,package_unit_gb,price_us_usd_per_100g,source_us,package_size_us,package_unit_us,price_ca_cad_per_100g,source_ca,package_size_ca,package_unit_ca,notes
Cumin,Cumin,spice,7.375,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Curdled milk,Lait caillé,dairy,0.170,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Curry powder,Curry en poudre,spice,1.310,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Dijon mustard,Moutarde de Dijon,condiment,0.458,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Dried chili,Piment sec,spice,1.832,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Dried crayfish,Écrevisses séchées,dried_fish,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Dried fava beans,Fèves sèches,legume,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Dried fish Guedj,Poisson séché (Guedj),dried_fish,,NEEDS MANUAL ENTRY,,,,,,,,15.419,afroasia_us,227.0,g,,,,,
Dried fish powder,Poudre de poisson séché,dried_fish,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Dried shellfish Yet,Yet (mollusque séché),dried_fish,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Dried shrimp powder,Poudre de crevette séchée,dried_fish,1.925,carrefour_fr,WARN,1000.0,g,,,,,,,,,,,,,
Egg,Œuf,protein,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Eggplant,Aubergine,vegetable,0.289,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Egusi seeds,Graines d'egusi,nut,,NEEDS MANUAL ENTRY,,,,,,,,11.990,afroasia_us,100.0,g,,,,,
Evaporated milk,Lait concentré non sucré,dairy,0.241,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Fermented fish (Adjovan),Poisson fermenté (Adjovan),dried_fish,0.714,carrefour_fr,WARN,1000.0,ml,,,,,,,,,,,,,
Fine semolina,Semoule fine,starch,0.290,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Fish sauce,Nuoc mam,,0.792,carrefour_fr,WARN,1000.0,ml,,,,,,,,,,,,,
Fresh chili,Piment frais,vegetable,2.333,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Fresh coriander,Coriandre fraîche,herb,0.990,carrefour_fr,PASS,1.0,unit,,,,,,,,,,,,,
Fresh fish (Tilapia),Poisson frais (Tilapia),fish,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Fresh habanero pepper,Piment antillais frais,vegetable,6.653,carrefour_fr,WARN,1000.0,g,,,,,,,,,,,,,
Fresh okra,Gombo frais,vegetable,0.999,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Fresh tomato,Tomate fraîche,vegetable,0.482,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Gari (Cassava granules),Gari,starch,0.255,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Garlic,Ail,spice,0.796,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Ginger,Gingembre,spice,0.499,carrefour_fr,WARN,1000.0,g,,,,,,,,,,,,,
Goat meat,Viande de chèvre,protein,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Green bananas Matoke,Bananes vertes (Matoke),starch,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Green bell pepper,Poivron vert,vegetable,0.429,carrefour_fr,WARN,1000.0,g,,,,,,,,,,,,,
Green cabbage,Chou vert,,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Ground coriander,Coriandre moulue,spice,3.906,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Ground meat,Viande hachée,protein,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Ground nutmeg,Muscade moulue,spice,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Harissa,Harissa,condiment,0.564,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Honey,Miel,condiment,0.796,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Kale Sukuma,Chou frisé (Sukuma),vegetable,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Lamb,Agneau,protein,3.625,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Large chili,Gros piment,vegetable,2.089,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Lemon,Citron,fruit,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Lemon juice,Jus de citron,condiment,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Long grain rice,Riz long grain,starch,0.168,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Merguez sausage,Merguez (viande),protein,1.512,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Milk,Lait,dairy,0.115,carrefour_fr,PASS,1000.0,ml,,,,,,,,,,,,,
Millet grains,Grains de mil,starch,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Natural casings,Boyaux naturels,protein,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Ndole leaves,Feuilles de ndolé,vegetable,,NEEDS MANUAL ENTRY,,,,,,,,3.398,afroasia_us,500.0,g,,,,,
Nutmeg,Noix de muscade,spice,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Oil,Huile,frying_oil,1.109,carrefour_fr,PASS,1000.0,ml,,,,,,,,,,,,,
Olive oil,Huile d'olive,fat,1.109,carrefour_fr,PASS,1000.0,ml,,,,,,,,,,,,,
Onion,Oignon,vegetable,1.130,carrefour_fr,PASS,1.0,unit,,,,,,,,,,,,,
Palm fruit,Graine de palme,nut,0.694,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Palm nuts,Noix de palme,nut,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Palm oil,Huile de palme,fat,0.561,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Paprika,Paprika,spice,5.625,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Parsley,Persil,herb,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Pasta,Pâtes,starch,0.150,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Peanut butter,Pâte d'arachide,nut,1.995,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Peanut oil,Huile d'arachide,fat,0.355,carrefour_fr,PASS,1000.0,ml,,,,,,,,,,,,,
Pepper,Poivre,spice,2.357,carrefour_fr,WARN,1000.0,g,,,,,,,,,,,,,
Pigs' feet,Pieds de porc,protein,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Pilau spice mix,Épices pour Pilau,spice,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Pklala leaves (Crincrin),Feuilles de pklala (crincrin),vegetable,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Pork,Porc,protein,0.599,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Potato,Pomme de terre,vegetable,0.066,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Prunes,Pruneaux,fruit,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Pumpkin seeds (Egusi),Pistaches (graines de courge),nut,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Ras el hanout,Ras el hanout,spice,1.290,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Red bell pepper,Poivron rouge,vegetable,0.439,carrefour_fr,WARN,1000.0,g,,,,,,,,,,,,,
Red lentils,Lentilles rouges,legume,0.355,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Red onion,Oignon rouge,vegetable,0.198,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Rice,Riz,starch,0.255,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Ripe plantain,Banane plantain mûre,starch,0.349,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Roasted peanuts,Arachides grillées,nut,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Salt,Sel,spice,0.118,carrefour_fr,WARN,1000.0,g,,,,,,,,,,,,,
Seasoning cube,Cube d'assaisonnement,condiment,,NEEDS MANUAL ENTRY,,,,,,,,2.498,afroasia_us,400.0,g,,,,,
Sesame oil,Huile de sésame,fat,1.220,carrefour_fr,PASS,1000.0,ml,,,,,,,,,,,,,
Shrimp,Crevettes,fish,3.333,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Slivered almonds,Amandes effilées,nut,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Smoked chicken,Poulet fumé,protein,0.629,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Smoked fish,Poisson fumé,dried_fish,2.406,carrefour_fr,WARN,1000.0,g,,,,,,,,,,,,,
Smoked mackerel,Maquereau fumé,,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Smoked pork,Porc fumé,protein,1.490,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Smoked sausage,Saucisse fumée,protein,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Sorghum leaves,Feuilles de sorgho,vegetable,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Soy sauce,Sauce soja,condiment,1.000,carrefour_fr,PASS,1000.0,ml,,,,,,,,,,,,,
Spinach,Épinards,vegetable,1.032,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Stale bread,Pain rassis,starch,1.039,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Sugar,Sucre,other,0.089,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Sugar,Sucre,other,0.089,carrefour_fr,PASS,1000.0,g,,,,,,,,,,,,,
Suya spice powder,Poudre de Suya,spice,,NEEDS MANUAL ENTRY,,,,,,,,,,,,,,,,
Sweet potato,Patate douce,vegetable,0.279,carrefour_fr,WARN,1000.0,g,,,,,,,,,,,,,
